date,price
1998-08-01,12.8875
1998-09-01,12.8875
1998-10-01,14.18
1998-11-01,14.3175
1998-12-01,14.3175
1999-01-01,14.482000000000001
1999-02-01,14.482000000000001
1999-03-01,14.525
1999-04-01,14.17
1999-05-01,12.0425
1999-06-01,12.0425
1999-07-01,11.52
1999-08-01,11.85
1999-09-01,11.85
1999-10-01,11.7375
1999-11-01,11.3925
1999-12-01,11.3925
2000-01-01,11.3925
2000-02-01,11.9425
2000-03-01,11.9425
2000-04-01,12.08
2000-05-01,11.71
2000-06-01,11.9
2000-07-01,11.9
2000-08-01,11.025
2000-09-01,11.0
2000-10-01,11.4225
2000-11-01,11.4225
2000-12-01,10.7
2001-01-01,10.8
2001-02-01,10.92
2001-03-01,10.92
2001-04-01,10.92
2001-05-01,11.6
2001-06-01,10.17
2001-07-01,10.01
2001-08-01,10.37
2001-09-01,11.02
2001-10-01,11.46
2001-11-01,11.45
2001-12-01,11.29
2002-01-01,12.1
2002-02-01,12.1
2002-03-01,12.79
2002-04-01,12.63
2002-05-01,12.17
2002-06-01,12.17
2002-07-01,12.18
2002-08-01,12.7
2002-09-01,12.7
2002-10-01,12.7
2002-11-01,13.5
2002-12-01,12.63
2003-01-01,12.63
2003-02-01,12.63
2003-03-01,13.69
2003-04-01,13.69
2003-05-01,13.69
2003-06-01,13.6
2003-07-01,13.85
2003-08-01,14.19
2003-09-01,13.91
2003-10-01,13.98
2003-11-01,13.2
2003-12-01,13.2
2004-01-01,14.0
2004-02-01,14.0
2004-03-01,13.735
2004-04-01,13.47
2004-05-01,13.27
2004-06-01,13.645
2004-07-01,13.645
2004-08-01,14.1
2004-09-01,13.85
2004-10-01,14.695
2004-11-01,16.15
2004-12-01,17.25
2005-01-01,16.495
2005-02-01,16.39
2005-03-01,15.879999999999999
2005-04-01,15.57
2005-05-01,14.7
2005-06-01,15.53
2005-07-01,15.895
2005-08-01,15.92
2005-09-01,15.67
2005-10-01,15.64
2005-11-01,16.82
2005-12-01,17.0
2006-01-01,15.54
2006-02-01,15.54
2006-03-01,16.37
2006-04-01,15.88
2006-05-01,16.225
2006-06-01,16.105
2006-07-01,16.785
2006-08-01,16.36
2006-09-01,16.22
2006-10-01,17.095
2006-11-01,17.275
2006-12-01,17.61
2007-01-01,17.200000000000003
2007-02-01,18.4
2007-03-01,18.89
2007-04-01,19.92
2007-05-01,19.33
2007-06-01,19.15
2007-07-01,19.46
2007-08-01,21.2
2007-09-01,21.83
2007-10-01,21.95
2007-11-01,22.71
2007-12-01,24.95
2008-01-01,29.87
2008-02-01,31.197033333333334
2008-03-01,32.283166666666666
2008-04-01,34.20655
2008-05-01,31.5906
2008-06-01,31.2369
2008-07-01,33.638475
2008-08-01,32.946175
2008-09-01,31.439733333333336
2008-10-01,32.07156
2008-11-01,28.89
2008-12-01,28.575425
2009-01-01,27.296666666666667
2009-02-01,27.34
2009-03-01,23.19016
2009-04-01,23.335
2009-05-01,21.66893333333333
2009-06-01,22.0653
2009-07-01,21.5757
2009-08-01,21.86195
2009-09-01,21.8
2009-10-01,23.326825
2009-11-01,23.106666666666666
2009-12-01,23.705
2010-01-01,27.513966666666665
2010-02-01,26.935000000000002
2010-03-01,31.7
2010-04-01,25.83
2010-05-01,26.9305
2010-06-01,31.03533333333333
2010-07-01,31.65136
2010-08-01,30.384533333333337
2010-09-01,32.59733333333333
2010-10-01,35.10216666666667
2010-11-01,33.32
2010-12-01,32.989999999999995
2011-01-01,37.208175
2011-02-01,34.483333333333334
2011-03-01,40.64
