date,price
2005-11-01,20.0
2005-12-01,20.0
2006-01-01,20.0
2006-02-01,20.0
2006-03-01,21.5
2006-04-01,21.75
2006-05-01,21.75
2006-06-01,21.33
2006-07-01,21.4
2006-08-01,21.4
2006-09-01,21.6
2006-10-01,22.2
2006-11-01,24.2
2006-12-01,24.2
2007-01-01,26.0
2007-02-01,26.0
2007-03-01,26.43
2007-04-01,26.43
2007-05-01,26.25
2007-06-01,26.22
2007-07-01,27.33
2007-08-01,30.38
2007-09-01,31.56
2007-10-01,31.56
2007-11-01,37.7
2007-12-01,37.67
2008-01-01,39.75
2008-02-01,41.195
2008-03-01,43.125
2008-04-01,44.0
2008-05-01,43.0
2008-06-01,41.0
2008-07-01,39.25
2008-08-01,36.5322
2008-09-01,39.0
2008-10-01,36.25
2008-11-01,30.158733333333334
2008-12-01,25.33056666666667
2009-01-01,25.115000000000002
2009-02-01,24.665
2009-03-01,22.57796666666667
2009-04-01,18.42875
2009-05-01,17.71215
2009-06-01,20.145
2009-07-01,19.12013333333333
2009-08-01,20.439999999999998
2009-09-01,19.148333333333333
2009-10-01,19.2246
2009-11-01,19.5611
2009-12-01,20.572766666666666
2010-01-01,22.585066666666666
2010-02-01,21.5
2010-03-01,25.0
2010-04-01,24.25
2010-05-01,20.75
2010-06-01,20.55
2010-07-01,24.25
2010-08-01,23.086399999999998
2010-09-01,29.53
2010-10-01,32.57
2010-11-01,29.30666666666667
2010-12-01,30.69333333333333
2011-01-01,30.83
2011-02-01,32.805
2011-03-01,33.445
2011-04-01,32.230000000000004
2011-05-01,30.42
2011-06-01,28.345
2011-07-01,25.930000000000003
2011-08-01,25.930000000000003
2011-09-01,29.32
2011-10-01,30.165
2011-11-01,28.759999999999998
2011-12-01,29.115000000000002
2012-01-01,30.29
2012-02-01,33.33
2012-03-01,36.31
2012-04-01,33.575
2012-05-01,29.83666666666667
2012-06-01,29.356666666666666
2012-07-01,29.356666666666666
2012-08-01,30.28
2012-09-01,32.095
2012-10-01,33.0
2012-11-01,34.3
2012-12-01,33.91
2013-01-01,32.63666666666666
2013-02-01,34.89
2013-03-01,30.7
2013-04-01,33.70666666666667
2013-05-01,32.49666666666667
2013-06-01,35.515
2013-07-01,32.25
2013-08-01,29.7625
2013-09-01,27.975
2013-10-01,27.975
2013-11-01,31.959999999999997
2013-12-01,28.43
2014-01-01,29.59
2014-02-01,29.59
2014-03-01,32.6342
2014-04-01,32.24265
2014-05-01,34.894999999999996
2014-06-01,34.44
2014-07-01,28.289699999999996
2014-08-01,34.045
2014-09-01,36.31
2014-10-01,36.31
2014-11-01,30.626666666666665
